subject.ID,Anterior_hippocampus,Posterior_hippocampus,MISC,Meninges_PHC,ERC,Br35,Br36,PHC,ColSul,OTSul,Meninges
sub-2111048_ses-NAPFU24_run-001_T1w,1680.75,1601.5,101.75,242.75,489.75,708.5,1972.5,1039.25,335,99.5,373.75
sub-2111048_ses-NAPFU36_run-001_T1w,1603,1474,66.75,211,536.75,676.75,1940.25,1067.5,306.5,92.75,297.5
sub-2137252_ses-PREBL00_run-001_T1w,2065,1624.75,192.25,120.5,625.75,737.75,2106.75,1098.75,374,186.75,256.5
sub-2137252_ses-PREEN00_run-001_T1w,2078.5,1623.25,204,112.25,619.75,782,2120.75,1136.25,370.5,171.25,273.25
sub-2137252_ses-PREFU12_run-001_T1w,2049.25,1617.5,195.75,120,625.5,699,1992.25,1097,374,207.25,285.75
sub-2161762_ses-NAPBL00_run-001_T1w,1874.5,1547.25,90,99.25,626.75,604,1807.5,1091.5,241.75,298.5,264.5
sub-2161762_ses-NAPEN00_run-001_T1w,1868.5,1543,96.75,126.25,604.5,642.25,1867,1126.25,247.75,274.25,270.75
sub-2161762_ses-NAPFU03_run-001_T1w,1854.75,1568.5,98.25,94.25,615,607.25,1809.5,1096.75,272.25,292.5,241.75
sub-2161762_ses-NAPFU12_run-001_T1w,1865.5,1585.25,119.25,105,607,611.75,1788,1093.25,275.25,258,257.75
sub-2161762_ses-NAPFU24_run-001_T1w,1834.75,1543.25,115.5,105.5,640.25,632,1832,1126,267.75,316.25,257.75
sub-2161762_ses-NAPFU36_run-001_T1w,1843.5,1593.5,130.25,113.75,599.75,637.25,1868.75,1135,244,280.25,270.5
sub-2161762_ses-NAPFU48_run-001_T1w,1789.75,1547.5,123,114.25,622.5,586.5,1767,1089.75,273,329,269.25
sub-2245781_ses-NAPBL00_run-001_T1w,1926.75,1718,19.5,93.25,703.75,787.75,2604.75,1439.75,438.25,207.5,279.25
sub-2245781_ses-NAPEN00_run-001_T1w,1909.5,1739.75,23.25,115.25,689.75,727,2594.75,1424.5,417.5,238,329
sub-2245781_ses-NAPFU03_run-001_T1w,1893,1710.5,16.5,86,732.25,768,2549,1419.25,416.75,251,298
sub-2245781_ses-NAPFU12_run-001_T1w,1921,1720.25,23.25,91.25,699.75,769.5,2554.75,1372,456,238.5,300.5
